timestamp,zone,flow_rate_lpm,consumption_liters,duration_min,scenario
2026-07-16 17:10:00,AI Lab,4.76,5.38,1.13,Normal
2026-07-19 06:20:00,AIML Department,4.06,22.92,5.64,Normal
2026-07-12 21:00:00,HOD Department,3.56,20.34,5.71,Normal
2026-07-22 08:30:00,HOD Department,3.17,12.23,3.86,Normal
2026-07-31 11:50:00,BT Department,3.15,17.44,5.54,Normal
2026-07-19 22:40:00,Mechanical Lab,6.33,27.33,4.32,Normal
2026-07-13 14:10:00,AIML Department,4.35,26.17,6.01,Normal
2026-07-09 03:10:00,HOD Department,4.63,40.52,8.76,Normal
2026-07-29 11:40:00,Physics Lab,4.65,20.97,4.51,Normal
2026-07-27 10:50:00,IT Department,4.11,21.36,5.2,Normal
2026-07-11 23:50:00,AI Lab,4.87,21.39,4.4,Normal
2026-07-21 18:40:00,AI Lab,6.41,42.28,6.59,Normal
2026-07-22 01:50:00,Physics Lab,4.98,12.54,2.52,Normal
2026-07-31 03:10:00,Electronics Department,3.5,31.46,8.98,Normal
2026-07-31 11:40:00,Electronics Department,4.72,13.73,2.91,Normal
2026-08-01 01:20:00,AI Lab,24.81,1482.62,59.77,Critical
2026-08-25 11:30:00,BT Department,22.42,1015.45,45.29,Critical
2026-08-05 00:50:00,AIML Department,4.95,36.2,7.32,Normal
2026-07-20 10:00:00,CSE Department,11.21,174.04,15.53,Suspicious
2026-07-17 07:40:00,Physics Lab,15.15,201.05,13.27,Suspicious
2026-07-28 15:20:00,Physics Lab,5.65,27.15,4.81,Normal
2026-08-11 16:40:00,Mechanical Lab,5.33,23.92,4.48,Normal
2026-08-12 21:50:00,AI Lab,4.5,24.09,5.35,Normal
2026-08-23 02:00:00,Biotech Department,4.69,40.58,8.65,Normal
2026-07-06 20:20:00,BT Department,13.26,359.79,27.13,Suspicious
2026-07-23 07:10:00,Physics Lab,11.16,212.45,19.04,Suspicious
2026-08-25 11:20:00,New Seminar Hall,5.73,40.02,6.99,Normal
2026-07-23 10:10:00,Mechanical Lab,3.54,10.69,3.02,Normal
2026-07-06 15:10:00,Physics Lab,13.48,219.52,16.28,Suspicious
2026-07-22 17:00:00,Biotech Department,7.08,21.38,3.02,Normal
2026-07-06 23:10:00,CSE Department,18.32,675.41,36.87,Critical
2026-08-20 17:50:00,Chemistry Lab,5.86,49.12,8.39,Normal
2026-08-18 11:10:00,Physics Lab,2.75,23.14,8.42,Normal
2026-07-12 13:40:00,AIML Department,14.11,820.61,58.18,Critical
2026-08-17 17:40:00,AI Lab,7.06,14.14,2.0,Normal
2026-07-08 13:40:00,CSE Department,5.21,24.05,4.61,Normal
2026-08-07 06:20:00,BT Department,17.92,1612.53,89.98,Critical
2026-08-03 15:00:00,BT Department,13.36,285.98,21.41,Suspicious
2026-07-04 17:10:00,BT Department,6.76,24.23,3.59,Normal
2026-07-08 09:30:00,Electronics Department,4.29,26.31,6.13,Normal
2026-07-20 21:10:00,BT Department,4.97,19.88,4.0,Normal
2026-07-20 04:40:00,HOD Department,3.6,8.88,2.47,Normal
2026-08-07 13:50:00,CSE Department,2.94,25.52,8.67,Normal
2026-07-21 16:10:00,BT Department,2.76,22.61,8.18,Normal
2026-07-24 16:20:00,CSE Department,4.03,36.79,9.13,Normal
2026-08-06 04:50:00,Electronics Department,3.99,16.29,4.08,Normal
